"","x"
"989","Nqo1"
"990","Ldhd"
"991","Egln1"
"992","Mrpl4"
"993","Icam1"
"994","Pde4a"
"995","Atg4d"
"996","Slc44a2"
"997","Zfp809"
"998","Scn4b"
"999","Tmprss13"
"1000","Fxyd6"
"1001","Arhgap20"
"1002","Idh3a"
"1003","6030419C18Rik"
"1004","Clpx"
"1005","Pygo1"
"1006","Mrap2"
"1007","Nt5e"
"1008","Ctsh"
"1009","Paqr9"
"1010","Pcolce2"
"1011","Tfdp2"
"1012","Acad11,Nphp3"
"1013","Twf2"
"1014","Lamb2"
"1015","Slc25a20"
"1016","Prkar2a"
"1017","Uqcrc1"
"1018","Lrrc2"
"1019","Golga4"
"1020","Zfp651"
"1021","D9Ertd402e"
"1022","Clec3b"
"1023","Tmem205"
"1024","Rgl3"
"1025","Sorl1"
"1026","Tmem25"
"1027","Atp5l"
"1028","Zbtb16"
"1029","Ttc12"
"1030","Dlat"
"1031","Fdx1"
"1032","Mpi"
"1033","Lactb"
"1034","Fam63b"
"1035","Gcom1,Myzap,Polr2m"
"1036","Gm8116"
"1037","Me1"
"1038","Ppp2r3a"
"1039","Ephb1"
"1040","Gm20425,Srprb,Trf"
"1041","Alas1"
"1042","Parp3"
"1043","Mapkapk3"
"1044","Slc38a3"
"1045","Sema3f"
"1046","Tcta"
"1047","Ccrl2"
"1048","Gpd1l"
"1049","Gm9846"
"1050","Scn5a"
"1051","Csrnp1"
"1052","Hhatl"
"1053","Higd1a"
"1054","Ano10"
"1055","Scp2-ps2"
"1056","Fyco1"
"1057","Mid1ip1"
"1058","Slc9a6"
"1059","Mtm1"
"1060","Abcd1"
"1061","Atp6ap1"
"1062","Itgb1bp2"
"1063","Fgf16"
"1064","Rnf128"
"1065","Alas2"
"1066","Rai2"
"1067","Ap1s2"
"1068","Asb11"
"1069","Gpm6b"
"1070","Magix"
"1071","Gm14493"
"1072","Maob"
"1073","Ndufb11"
"1074","Ndufa1"
"1075","Zdhhc9"
"1076","Igsf1"
"1077","Mmgt1"
"1078","Gm14680"
"1079","Ubl4"
"1080","Vsig4"
"1081","Phka1"
"1082","Gm6206"
"1083","Pdha1"
"1084","Ddx3y"
